table_name,column_name,data_type,is_nullable,column_default
businesses,social_links,jsonb,YES,
businesses,suburb,text,YES,
businesses,city,text,YES,
businesses,state_region,text,YES,
businesses,postal_code,text,YES,
businesses,business_hours,text,YES,
businesses,banner_url,text,YES,
businesses,cultural_identity,text,YES,
businesses,is_claimed,boolean,YES,false
businesses,claimed_at,timestamp with time zone,YES,
businesses,claimed_by,text,YES,
businesses,business_handle,text,YES,
businesses,is_verified,boolean,YES,false
businesses,owner_user_id,uuid,YES,
businesses,proof_links,ARRAY,YES,
businesses,is_homepage_featured,boolean,NO,false
businesses,visibility_tier,text,NO,'none'::text
businesses,business_structure,text,YES,
businesses,annual_revenue_exact,integer,YES,
businesses,full_time_employees,integer,YES,
businesses,part_time_employees,integer,YES,
businesses,primary_market,text,YES,
businesses,growth_stage,text,YES,
businesses,funding_source,text,YES,
businesses,business_challenges,ARRAY,YES,
businesses,future_plans,text,YES,
businesses,tech_stack,ARRAY,YES,
businesses,customer_segments,ARRAY,YES,
businesses,competitive_advantage,text,YES,
businesses,year_started,integer,YES,
businesses,created_by,uuid,YES,
businesses,source,text,YES,'user'::text
businesses,profile_completeness,numeric,YES,0.0
businesses,referral_code,text,YES,
businesses,subscription_tier,character varying,YES,'vaka'::character varying
businesses,business_registered,boolean,YES,false
businesses,sales_channels,jsonb,YES,'[]'::jsonb
businesses,import_export_status,text,YES,
businesses,team_size_band,text,YES,
businesses,revenue_band,text,YES,
businesses,business_owner,text,YES,
businesses,business_owner_email,text,YES,
businesses,additional_owner_emails,ARRAY,YES,
businesses,public_phone,text,YES,
businesses,tagline,text,YES,
businesses,mobile_banner_url,text,YES,
claim_requests,id,uuid,NO,gen_random_uuid()
claim_requests,business_id,uuid,NO,
claim_requests,user_id,uuid,NO,
claim_requests,status,text,NO,'pending'::text
claim_requests,contact_email,text,YES,
claim_requests,contact_phone,text,YES,
claim_requests,verification_documents,text,YES,
claim_requests,rejection_reason,text,YES,
claim_requests,reviewed_by,uuid,YES,
claim_requests,reviewed_at,timestamp with time zone,YES,
claim_requests,business_name,text,YES,
claim_requests,user_email,text,YES,
claim_requests,role,text,YES,
claim_requests,proof_url,text,YES,
claim_requests,created_at,timestamp with time zone,YES,now()
claim_requests,updated_at,timestamp with time zone,YES,now()
countries,id,uuid,NO,gen_random_uuid()
countries,code,text,NO,
countries,name,text,NO,
countries,region,text,YES,
countries,created_at,timestamp with time zone,NO,now()
founder_insights,id,uuid,NO,gen_random_uuid()
founder_insights,user_id,uuid,NO,
founder_insights,snapshot_year,integer,NO,
founder_insights,submitted_date,timestamp with time zone,YES,now()
founder_insights,created_at,timestamp with time zone,YES,now()
founder_insights,updated_at,timestamp with time zone,YES,now()
founder_insights,gender,text,YES,
founder_insights,age_range,text,YES,
founder_insights,years_entrepreneurial,text,YES,
founder_insights,entrepreneurial_background,text,YES,
founder_insights,businesses_founded,text,YES,
founder_insights,family_entrepreneurial_background,boolean,YES,
founder_insights,founder_role,text,YES,
founder_insights,founder_story,text,YES,
founder_insights,founder_motivation_array,ARRAY,YES,
founder_insights,pacific_identity,ARRAY,YES,
founder_insights,serves_pacific_communities,text,YES,
founder_insights,culture_influences_business,boolean,YES,
founder_insights,culture_influence_details,text,YES,
founder_insights,family_community_responsibilities_impact,ARRAY,YES,
founder_insights,responsibilities_impact_details,text,YES,
founder_insights,has_mentorship_access,boolean,YES,
founder_insights,offers_mentorship,boolean,YES,
founder_insights,barriers_to_mentorship,text,YES,
founder_insights,angel_investor_interest,text,YES,
founder_insights,investor_capacity,text,YES,
founder_insights,has_collaboration_interest,boolean,YES,
founder_insights,is_open_to_future_contact,boolean,YES,
founder_insights,goals_details,text,YES,
founder_insights,goals_next_12_months_array,ARRAY,YES,
profiles,id,uuid,NO,
profiles,display_name,text,YES,
profiles,email,text,YES,
profiles,country,text,YES,
profiles,created_at,timestamp with time zone,NO,now()
profiles,updated_at,timestamp with time zone,NO,now()
profiles,primary_cultural,text,YES,
profiles,education_level,text,YES,
profiles,professional_background,ARRAY,YES,
profiles,business_networks,ARRAY,YES,
profiles,mentorship_availability,boolean,YES,false
profiles,investment_interest,text,YES,
profiles,community_involvement,ARRAY,YES,
profiles,skills_expertise,ARRAY,YES,
profiles,business_goals,text,YES,
profiles,challenges_faced,ARRAY,YES,
profiles,success_factors,ARRAY,YES,
profiles,preferred_collaboration,ARRAY,YES,
profiles,role,USER-DEFINED,YES,'owner'::app_role
profiles,years_operating,integer,YES,
profiles,business_role,text,YES,
profiles,city,text,YES,
profiles,languages,ARRAY,YES,'{}'::text[]
profiles,market_region,text,YES,
profiles,pending_business_id,uuid,YES,
profiles,pending_business_name,text,YES,
profiles,invited_by,uuid,YES,
profiles,invited_date,timestamp with time zone,YES,
profiles,status,text,YES,'active'::text
profiles,gdpr_consent,boolean,YES,false
profiles,gdpr_consent_date,timestamp with time zone,YES,
profiles,cultural_tags,ARRAY,YES,
public_business_statistics,total_businesses,bigint,YES,
public_business_statistics,vaka_count,bigint,YES,
public_business_statistics,mana_count,bigint,YES,
public_business_statistics,moana_count,bigint,YES,
public_business_statistics,verified_count,bigint,YES,
public_business_statistics,active_count,bigint,YES,
public_business_statistics,unique_industries,bigint,YES,
public_business_statistics,unique_countries,bigint,YES,
public_business_statistics,latest_month,timestamp with time zone,YES,
public_businesses,id,uuid,YES,
public_businesses,name,character varying,YES,
public_businesses,business_handle,text,YES,
public_businesses,tagline,text,YES,
public_businesses,description,text,YES,
public_businesses,logo_url,text,YES,
public_businesses,banner_url,text,YES,
public_businesses,mobile_banner_url,text,YES,
public_businesses,contact_email,character varying,YES,
public_businesses,contact_website,text,YES,
public_businesses,contact_phone,character varying,YES,
public_businesses,business_hours,text,YES,
public_businesses,country,character varying,YES,
public_businesses,city,text,YES,
public_businesses,industry,character varying,YES,
public_businesses,status,character varying,YES,
public_businesses,is_verified,boolean,YES,
public_businesses,business_owner,text,YES,
public_businesses,business_owner_email,text,YES,
public_businesses,created_date,date,YES,
public_businesses,updated_at,timestamp with time zone,YES,
subscriptions,id,uuid,NO,gen_random_uuid()
subscriptions,user_id,uuid,NO,
subscriptions,business_id,uuid,YES,
subscriptions,stripe_subscription_id,text,YES,
subscriptions,stripe_customer_id,text,YES,
subscriptions,plan_type,character varying,NO,
subscriptions,status,character varying,YES,'active'::character varying
subscriptions,current_period_start,timestamp with time zone,YES,
subscriptions,current_period_end,timestamp with time zone,YES,
subscriptions,cancel_at_period_end,boolean,YES,false
subscriptions,created_at,timestamp with time zone,YES,now()
subscriptions,updated_at,timestamp with time zone,YES,now()
